feature,coef,abs_coef
Name_Downeast Community Partners Inc.,-0.03035247202681687,0.03035247202681687
Name_Coastal Opportunities,0.030308036725726014,0.030308036725726014
State_FL_False,0.02995710394935328,0.02995710394935328
Name_Eastport Public Library Association,-0.02991654931127997,0.02991654931127997
City_Eastport,-0.02991654931127997,0.02991654931127997
Name_Regional Transportation Program Inc.,-0.029825573302589874,0.029825573302589874
Name_Norway Pine Grove Cemetery Corp,-0.029822732128918995,0.029822732128918995
City_North Jay,-0.02980943189484453,0.02980943189484453
Name_Jay-Niles Memorial Library Association,-0.02980943189484453,0.02980943189484453
Name_Acton Shapheigh Historical Society,-0.02977276243572668,0.02977276243572668
Name_American Legion Auxiliary,0.029772176008562433,0.029772176008562433
Name_McArthur Home for Aged People Assoc,-0.029640348631074568,0.029640348631074568
Name_Mt. Hope Cemetery Corp,0.02962367195917573,0.02962367195917573
Name_China Library Association Inc.,0.02949654869190359,0.02949654869190359
City_China Village,0.02949654869190359,0.02949654869190359
City_Wellington,-0.029245631458973253,0.029245631458973253
Name_Wellington Evangelican Community Church,-0.029245631458973253,0.029245631458973253
City_Alfred,0.0291191537789225,0.0291191537789225
Name_River of Life,0.0291191537789225,0.0291191537789225
Name_Hulls Cove Neighborhood Association,-0.028927289458001056,0.028927289458001056
Name_Longfellow Garden Club Inc.,0.028724511885915082,0.028724511885915082
Name_Oxford County Agricultural Society,-0.02870643912169895,0.02870643912169895
State_NH_True,-0.028637528484352286,0.028637528484352286
City_Farmington,0.028613410840669845,0.028613410840669845
Name_Bangor Humane Society,0.028525824040499963,0.028525824040499963
Name_Good Samaritan Agency,0.02852558867658131,0.02852558867658131
Name_Bangor Childrens Home,0.02852558728689292,0.02852558728689292
Name_Bridgton Hospital,0.028499529168801555,0.028499529168801555
Name_Lewiston Little League Playground,-0.028482237199893914,0.028482237199893914
Name_Bangor Young Mens Christian Association,-0.028390959967240132,0.028390959967240132
Name_Martin-Klein American Legion Post 133,-0.02820882532268863,0.02820882532268863
City_Fort Kent,-0.02820882532268863,0.02820882532268863
Name_Wayfinder Schools,0.028087983454167076,0.028087983454167076
Name_Biddeford Youth Hockey Association,-0.028033403975661068,0.028033403975661068
Name_Kennebunk Free Library Association,-0.028008938715947812,0.028008938715947812
Name_Dance in Maine,0.027993196026531792,0.027993196026531792
City_Orrs Island,0.027993196026531792,0.027993196026531792
Name_Hope Association,0.027988364217109294,0.027988364217109294
Name_Rumford Hospital,0.027985450584284175,0.027985450584284175
Name_Hancock County Agricultural Society,-0.027953389020352274,0.027953389020352274
Name_Springvale Public Library Association,-0.027935136137704014,0.027935136137704014
Name_Community Health and Counseling Services,-0.027848192180570882,0.027848192180570882
City_Ocean Park,0.02754956131385501,0.02754956131385501
Name_Educational Bureau,0.02754956131385501,0.02754956131385501
Name_Maine Council of Churches,0.027488819924754403,0.027488819924754403
Name_Glad Tidings Church,0.02743548287794975,0.02743548287794975
Name_Jackson Laboratory,0.02740333845850338,0.02740333845850338
Name_Maine Preservation,0.027271113483426996,0.027271113483426996
Name_Dean Hill Cemetery Improvement Association,-0.02721522587341366,0.02721522587341366
City_Orrington,-0.02721522587341366,0.02721522587341366
Name_Community Living Association,0.026600835890276397,0.026600835890276397
Name_Robert W Traip Trust,0.026562677004185072,0.026562677004185072
Name_North Gorham Public Library Inc.,-0.026481510339851425,0.026481510339851425
Name_Usta National Junior Tennis League Inc.,-0.026372327520341472,0.026372327520341472
City_White Plains,-0.026372327520341472,0.026372327520341472
Name_Iam-3rivers Inc.,0.026296599307238135,0.026296599307238135
City_Brooklin,-0.026225889011369304,0.026225889011369304
Name_Friend Memorial Public Library Inc.,-0.026225889011369304,0.026225889011369304
City_East Wilton,-0.02622394616681818,0.02622394616681818
Name_Western Maine Community Action Inc.,-0.02622394616681818,0.02622394616681818
Name_Morrison Center,0.026199783681138025,0.026199783681138025
Name_Improved Order of Redmen of Maine,-0.026178440785675664,0.026178440785675664
Name_Massachusetts Moderators Association Inc.,-0.026128496059197353,0.026128496059197353
City_Haverhill,-0.026128496059197353,0.026128496059197353
Name_Bar Harbor Historical Society Inc.,-0.02578679403657628,0.02578679403657628
City_Brooksville,-0.02571326834843032,0.02571326834843032
Name_Brooksville Free Public Library Inc.,-0.02571326834843032,0.02571326834843032
Name_York Hospital,0.025608143496917136,0.025608143496917136
Name_Creative Works,0.02558945934558058,0.02558945934558058
Name_Spurwink Services Incorporated,0.02539314639720934,0.02539314639720934
Name_Crisis and Counseling Centers Inc.,-0.02533259826455311,0.02533259826455311
City_Eagle Lake,0.025253494676647743,0.025253494676647743
Name_Mercy Hospital,0.025251414929510517,0.025251414929510517
Name_Kennebunk Beach Improvement Association,-0.025186125638434562,0.025186125638434562
Name_Haystack Mountain School of Crafts,-0.02509731916772929,0.02509731916772929
Name_Warren Memorial Foundation,0.024931161972301753,0.024931161972301753
"Classification Code_EO,LODGE",0.02484321694640586,0.02484321694640586
Name_Lincoln Academy,0.024782181410933305,0.024782181410933305
City_Bridgton,-0.02434772740889863,0.02434772740889863
Name_Coopers Mills Volunteer Fire Department,-0.024271461837247172,0.024271461837247172
City_Coopers Mills,-0.024271461837247172,0.024271461837247172
City_Randolph,-0.024247932270140563,0.024247932270140563
Name_Safe Haven Residential Services Inc.,-0.024247932270140563,0.024247932270140563
Name_Kennebunk Kennebunkport Athletic Boosters,-0.024186480640226358,0.024186480640226358
Name_Aroostook County Action Program Inc.,-0.024167294105344135,0.024167294105344135
Name_Abbe Museum,0.024073302481307998,0.024073302481307998
Name_Stockton Springs Historical Society Inc.,-0.02381773708606066,0.02381773708606066
City_Stockton Spgs,-0.02381773708606066,0.02381773708606066
City_China,0.02381105876585675,0.02381105876585675
Name_Erskine Academy,0.02381105876585675,0.02381105876585675
Name_Restoration of Hope Church Ministries,-0.023791960240835765,0.023791960240835765
City_Roxbury,-0.023791960240835765,0.023791960240835765
Name_Aroostook Mental Health Services Inc.,-0.023675446916305454,0.023675446916305454
Name_Gould Academy,0.023564584471517647,0.023564584471517647
Name_Portland Seamens Friend Society,-0.0235158796354734,0.0235158796354734
Name_Lincoln Home,0.023448935990063282,0.023448935990063282
City_Dresden,0.0233872342769772,0.0233872342769772
Name_Bridge Academy,0.0233872342769772,0.0233872342769772
Name_Mount Desert Island Biological Laboratory,-0.023380631404953174,0.023380631404953174
City_Salsbury Cove,-0.023380631404953174,0.023380631404953174
City_Georgetown,-0.023377069635027146,0.023377069635027146
Name_Georgetown Volunteer Fire Department Inc.,-0.023377069635027146,0.023377069635027146
Name_Home for the Aged,0.02333732268419091,0.02333732268419091
Name_Kennebec Valley Mental Health Center,-0.023241897662635232,0.023241897662635232
Name_Plummer Memorial Hospital,0.02323909634634598,0.02323909634634598
City_Dexter,0.02323909634634598,0.02323909634634598
State_NJ_False,-0.022970152657306103,0.022970152657306103
Name_Quarry Hill,0.022855673828605014,0.022855673828605014
